Symbol,Side,Entry Price,Exit Price,Quantity,Leverage,Entry Time,Exit Time,PnL %,PnL Amount,Status
SOL-USDT,LONG,73.4,73.95,1,10,1000,2000,7.49,5.5,CLOSED
BTC-USDT,LONG,100.0,108.0,1.0,1,1,2,8.0,8.0,CLOSED
BTC-USDT,LONG,100.0,105.0,1.0,1,1,2,5.0,5.0,CLOSED
BTC-USDT,LONG,100.0,100.0,1.0,1,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,105.0,1.0,1,1,2,5.0,5.0,CLOSED
BTC-USDT,SHORT,105.0,105.0,1.0,1,2,2,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,1.0,1,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,1.0,1,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,1.0,1,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,98.99,1.0,1,1,2,-1.01,-1.01,STOP_LOSS
ETH-USDT,SHORT,100.0,100.0,1.0,1,3,3,0.0,0.0,OPEN
ETH-USDT,SHORT,100.0,101.01,1.0,1,3,4,-1.01,-1.01,STOP_LOSS
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,102.0,2.0,20,1,3,2.0,4.0,STOP_LOSS
ETH-USDT,LONG,200.0,200.0,1.0,20,5,5,0.0,0.0,OPEN
ETH-USDT,LONG,200.0,199.0,1.0,20,5,8,-0.5,-1.0,CLOSED
ETH-USDT,SHORT,199.0,199.0,1.0050251256281406,20,8,8,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,102.0,2.0,20,1,4,2.0,4.0,STOP_LOSS
ETH-USDT,LONG,200.0,200.0,1.0,20,5,5,0.0,0.0,OPEN
ETH-USDT,LONG,200.0,199.0,1.0,20,5,8,-0.5,-1.0,CLOSED
ETH-USDT,SHORT,199.0,199.0,1.0050251256281406,20,8,8,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,98.99,2.0,20,1,1786155327,-1.01,-2.02,STOP_LOSS
ETH-USDT,LONG,100.0,100.0,2.0,20,10,10,0.0,0.0,OPEN
ETH-USDT,LONG,100.0,102.19,2.0,20,10,13,2.19,4.38,STOP_LOSS
SOL-USDT,LONG,50.0,50.0,4.0,20,20,20,0.0,0.0,OPEN
SOL-USDT,LONG,50.0,49.0,4.0,20,20,22,-2.0,-4.0,STOP_LOSS
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,98.99,2.0,20,1,1786155343,-1.01,-2.02,STOP_LOSS
ETH-USDT,LONG,100.0,100.0,2.0,20,10,10,0.0,0.0,OPEN
ETH-USDT,LONG,100.0,102.19,2.0,20,10,13,2.19,4.38,STOP_LOSS
SOL-USDT,LONG,50.0,50.0,4.0,20,20,20,0.0,0.0,OPEN
SOL-USDT,LONG,50.0,49.0,4.0,20,20,22,-2.0,-4.0,CLOSED
SOL-USDT,SHORT,49.0,49.0,4.081632653061225,20,22,22,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,99.0,2.0,20,1,2,-1.0,-2.0,CLOSED
BTC-USDT,SHORT,99.0,99.0,2.0202020202020203,20,2,2,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,99.0,2.0,20,1,2,-1.0,-2.0,CLOSED
BTC-USDT,SHORT,99.0,99.0,2.0202020202020203,20,2,2,0.0,0.0,OPEN
ETH-USDT,SHORT,110.0,111.0,1.0,20,0,0,-0.9091,-1.0,CLOSED
ETH-USDT,LONG,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
XRP-USDT,LONG,100.0,102.19,1.0,20,0,0,2.19,2.19,STOP_LOSS
BTC-USDT,LONG,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,99.0,2.0,20,1,2,-1.0,-2.0,CLOSED
BTC-USDT,SHORT,99.0,99.0,2.0202020202020203,20,2,2,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,99.0,2.0,20,0,0,-1.0,-2.0,STOP_LOSS
XRP-USDT,LONG,100.0,102.19,1.0,20,0,0,2.19,2.19,STOP_LOSS
BTC-USDT,LONG,100.0,100.0,2.0,20,1,1,0.0,0.0,OPEN
BTC-USDT,LONG,100.0,99.0,2.0,20,1,2,-1.0,-2.0,CLOSED
BTC-USDT,SHORT,99.0,99.0,2.0202020202020203,20,2,2,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,99.0,2.0,20,0,0,-1.0,-2.0,CLOSED
SOL-USDT,SHORT,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
XRP-USDT,LONG,100.0,102.19,1.0,20,0,0,2.19,2.19,STOP_LOSS
SOL-USDT,LONG,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,99.0,2.0,20,0,0,-1.0,-2.0,CLOSED
